ma_goc,du_an_GOI_Y,loai_hinh_GOI_Y,loai_hinh_ten,so_hang_muc,CAN_SUA,du_an_DUNG(sua_o_day),loai_hinh_DUNG(sua_o_day)
B.BNI.HLBN.NX,B.BNI.HLBN,NX,Nhà xe,6,,B.BNI.HLBN,NX
B.DSHNQN.BRG.TB,B.DSHNQN,BRG,Cầu,1,,B.DSHNQN,BRG
B.DSHNQN.BRG.VDT,B.DSHNQN,BRG,Cầu,1,,B.DSHNQN,BRG
B.DSHNQN.DMF,B.DSHNQN,DMF,Depot,2,,B.DSHNQN,DMF
B.DSHNQN.PMC,B.DSHNQN.PMC,,,1,CAN-SUA,B.DSHNQN.PMC,
B.DSHNQN.STA,B.DSHNQN,STA,Nhà ga,5,,B.DSHNQN,STA
B.DSHNQN.SUP,B.DSHNQN,SUP,Công trình phụ trợ,8,,B.DSHNQN,SUP
B.HNO.DCHY.CT,B.HNO.DCHY,CT,Cao tầng,1,,B.HNO.DCHY,CT
B.HNO.GL.VSC,B.HNO.GL,VSC,Trường học,1,,B.HNO.GL,VSC
B.HNO.GL.VUNI,B.HNO.GL,VUNI,Trường Đại học,5,,B.HNO.GL,VUNI
B.HNO.QL1A,B.HNO.QL1A,,,1,CAN-SUA,B.HNO.QL1A,
B.HNO.QL1A.DT247,B.HNO.QL1A.DT247,,,1,CAN-SUA,B.HNO.QL1A.DT247,
B.HNO.QL1A.NGDT70,B.HNO.QL1A.NGDT70,,,1,CAN-SUA,B.HNO.QL1A.NGDT70,
B.HNO.QL1A.NGDX,B.HNO.QL1A.NGDX,,,1,CAN-SUA,B.HNO.QL1A.NGDX,
B.HNO.QL1A.NGKL,B.HNO.QL1A.NGKL,,,1,CAN-SUA,B.HNO.QL1A.NGKL,
B.HNO.QL1A.NGOLP,B.HNO.QL1A.NGOLP,,,1,CAN-SUA,B.HNO.QL1A.NGOLP,
B.HNO.QL1A.NGVD2,B.HNO.QL1A.NGVD2,,,1,CAN-SUA,B.HNO.QL1A.NGVD2,
B.HNO.QL1A.NGVD2.5,B.HNO.QL1A.NGVD2.5,,,1,CAN-SUA,B.HNO.QL1A.NGVD2.5,
B.HNO.QL1A.NGVD3,B.HNO.QL1A.NGVD3,,,1,CAN-SUA,B.HNO.QL1A.NGVD3,
B.HNO.QL1A.NGVD3.5,B.HNO.QL1A.NGVD3.5,,,1,CAN-SUA,B.HNO.QL1A.NGVD3.5,
B.HNO.QL1A.NGVD4,B.HNO.QL1A.NGVD4,,,1,CAN-SUA,B.HNO.QL1A.NGVD4,
B.HNO.TMDM.CT,B.HNO.TMDM,CT,Cao tầng,1,,B.HNO.TMDM,CT
B.HNO.TMDM.VSC,B.HNO.TMDM,VSC,Trường học,1,,B.HNO.TMDM,VSC
B.HNO.VHCL.VSC,B.HNO.VHCL,VSC,Trường học,1,,B.HNO.VHCL,VSC
B.HNO.VHOHN.KS,B.HNO.VHOHN,KS,Khách sạn,1,,B.HNO.VHOHN,KS
B.HNO.VHOHN.SVD,B.HNO.VHOHN,SVD,Sân vận động,1,,B.HNO.VHOHN,SVD
